id_client,nom,prenom,email,date_naissance,sexe,ville,telephone,date_inscription,canal_acquisition
CLI04701,Naciri,Siham,sihamnaciri3@yahoo.fr,1954-12-09,f,Marrakech,0785277130,2025-06-20,TikTok
CLI04973,El Amrani,Fatima,fatima_elamrani@menara.ma,1964-03-23,female,agadir,0749513498,2024-02-26,TikTok
CLI02288,El Hajjaji,Souad,souad-elhajjaji@gmail.com,1998-04-23,0,Oujda,0708332710,2023-04-21,Recommandation
CLI99416,El Ouafi,Manal,manalelouafi44@outlook.com,1967-07-19,f,Marrakech,0644991615,2023-01-31,TV
CLI00248,Idrissi,Sanaa,sanaa.idrissi@menara.ma,1998-09-04,female,Marrakech,0795489952,2022-05-15,TV
CLI02624,El Hamdouchi,Manal,manal-elhamdouchi@menara.ma,1999-08-21,f,Agadir,0673984855,2022-04-11,Google SEO
CLI01437,El Hajjaji,Zineb,zineb-elhajjaji53@outlook.com,1989-12-17,F,RABAT,0612138078,2023-12-27,Facebook
CLI04442,Chakir,Houda,houdachakir@hotmail.com,1983-09-27,0,Tanger,0777793208,2024-09-05,Facebook
CLI94523,Drissi,Anass,anass.drissi@hotmail.com,1982-11-16,m,Tnja,0654825627,2023-01-20,Email
CLI00338,Hajji,Nabil,nabil-hajji@hotmail.com,1986-03-29,Homme,agadir,0622777079,2023-12-19,Email
CLI00688,Chraibi,Ilham,ilham.chraibi84@menara.ma,1987-12-16,f,Tanger,0691114281,2025-01-03,Direct
CLI00138,El Amrani,Abdellatif,abdellatif-elamrani@yahoo.fr,2003-05-27,M,Meknès,0788317121,2026-02-27,Google SEO
CLI00092,Benkirane,Riad,riadbenkirane@menara.ma,1983-01-07,1,tanja,0785191088,2025-11-15,Email
CLI04623,El Moussaoui,Walid,walid.elmoussaoui@menara.ma,1986-03-31,1,Béni Mellal,0793536103,2022-10-29,Affichage
CLI04619,Benjelloun,Younes,younes-benjelloun@outlook.com,1966-10-31,Homme,dar beida,0701366220,2024-07-22,Influenceur
CLI02644,Guerrouj,Hamid,hamid_guerrouj@gmail.com,1990-09-23,H,Meknès,0794147904,2022-08-21,Recommandation
CLI01938,El Amrani,Hajar,hajar-elamrani@outlook.com,1975-05-31,f,OUJDA,0697591448,2022-05-04,TV
CLI03143,El Hajjaji,Hafida,hafida-elhajjaji25@gmail.com,1947-06-17,0,El Jadida,0637242046,2025-06-09,TikTok
CLI03982,Kettani,Hamid,hamid-kettani@outlook.com,1890-01-01,1,Fès,0759106183,2022-08-20,TikTok
CLI00208,El Moussaoui,Reda,reda.elmoussaoui@menara.ma,1987-09-20,Homme,fez,0603691559,2024-07-24,Recommandation
CLI00260,Mernissi,Hicham,hicham.mernissi77@menara.ma,1961-12-02,1,MARRAKECH,0690227846,2025-02-10,TV
CLI04279,El Bakkali,Latifa,latifa-elbakkali@yahoo.fr,1947-12-16,female,Nador,0641759164,2025-08-27,Affichage
CLI00830,Ksikes,Issam,issamksikes@menara.ma,1999-09-21,1,Fès,0727203886,2025-03-05,Facebook
CLI02267,El Ouafi,Ilyas,ilyas_elouafi33@hotmail.com,1977-04-08,1,Béni Mellal,0608967604,2026-02-22,Google SEO
CLI01284,Tahiri,Ilham,ilhamtahiri@hotmail.com,1988-11-04,Femme,kenitra,0682801832,2025-04-16,Email
CLI04989,Chakir,Latifa,latifa_chakir@outlook.com,1977-06-08,f,Fès,0608465642,2023-04-18,Email
CLI02690,Saidi,Tarik,tarik.saidi36@yahoo.fr,1957-05-29,Homme,Taza,0697327860,2025-04-14,Facebook
CLI04571,Hajji,Yasmine,yasminehajji@gmail.com,1974-06-13,Femme,Meknès,0648292294,2023-05-08,Email
CLI04132,Mernissi,Houssam,houssam_mernissi76@gmail.com,1963-11-01,H,Tétouan,0611291974,2025-12-01,Facebook
CLI99304,Kettani,Nabil,nabil-kettani19@yahoo.fr,1974-07-23,H,Tétouan,0689119083,2022-03-31,Email
CLI00683,Bensouda,Rachid,rachidbensouda79@hotmail.com,1989-02-12,m,Safi,0769967331,2024-12-28,Instagram
CLI02383,El Andaloussi,Hicham,hichamelandaloussi@hotmail.com,1947-06-14,male,Rabat,0758701311,2024-04-27,Instagram
CLI03081,Hajji,Khadija,khadijahajji65@outlook.com,1979-10-13,Femme,Casablanca,0628296380,2022-05-01,Facebook
CLI04099,Bouyahia,Bilal,bilal-bouyahia@menara.ma,1986-02-23,M,Fès,0651589527,2024-10-08,Direct
CLI01701,Fennich,Malika,malika.fennich@gmail.com,1996-06-08,Femme,Meknès,0732448343,2023-09-26,Affichage
CLI02756,Ziani,Driss,driss_ziani22@outlook.com,2005-03-10,H,Taza,0640077160,2023-01-10,Instagram
CLI00114,Oulhaj,Ilyas,ilyas-oulhaj@outlook.com,1950-06-08,H,Oujda,0646112545,2026-03-12,Direct
CLI01403,Oulhaj,Simo,simo-oulhaj@gmail.com,1946-12-30,H,rabat,0799271560,2024-12-13,Email
CLI00794,Kettani,Sara,sara.kettani@menara.ma,2009-07-15,female,Tétouan,0719126022,2022-06-25,Instagram
CLI03108,Benjelloun,Youssef,youssef.benjelloun57@gmail.com,1975-07-21,1,Meknès,0712124987,2024-04-18,Influenceur
CLI02113,Belkadi,Ali,ali_belkadi@outlook.com,1986-08-14,H,Agadir,0728397830,2023-02-28,Instagram
CLI00329,Bakkali,Nour,nourbakkali7@gmail.com,1981-02-09,F,Meknès,0670758777,2023-09-18,Instagram
CLI02923,Benomar,Meryem,meryem_benomar52@hotmail.com,1890-01-01,0,Nador,0658198365,2026-02-03,Instagram
CLI01134,Tahiri,Simo,simo-tahiri91@hotmail.com,1960-09-08,H,Oujda,0627638354,2024-06-07,Email
CLI04367,Hajji,Houssam,houssam-hajji@gmail.com,2007-11-15,male,Oujda,0741814695,2024-05-25,Google SEO
CLI02166,Belkadi,Najat,najat_belkadi96@gmail.com,1970-08-15,Femme,Nador,0654722405,2025-07-15,TikTok
CLI02753,Benali,Omar,omar-benali@gmail.com,1966-08-10,1,Kenitra,0735062925,2022-08-13,Affichage
CLI00585,Bouazza,Hassan,hassan.bouazza@menara.ma,1989-08-22,male,Tétouan,0616477251,2023-09-15,Facebook
CLI02021,Tahiri,Walid,walid.tahiri59@yahoo.fr,1949-10-07,m,Tétouan,0767099608,2022-12-31,Direct
CLI04441,Benkirane,Hassan,hassanbenkirane89@yahoo.fr,1980-05-02,M,Fès,0734631847,2025-02-28,Influenceur
CLI04839,Bakkali,Zakaria,zakaria-bakkali@menara.ma,1985-06-06,m,Fès,0603574123,2023-02-13,Instagram
CLI03335,Bouyahia,Ghita,ghita_bouyahia@gmail.com,1973-04-16,female,casa,0745128272,2026-01-16,TV
CLI03405,El Khamlichi,Houda,houdaelkhamlichi@gmail.com,1998-02-17,0,Nador,0698402709,2025-05-18,Recommandation
CLI02953,Tahiri,Reda,reda.tahiri46@outlook.com,1998-03-25,m,rabat,0644079043,2024-10-14,Affichage
CLI01515,Tazi,Jamal,jamal.tazi@yahoo.fr,1947-03-16,m,Rabat,0723525600,2024-07-10,Affichage
CLI01705,El Hajjaji,Ali,ali.elhajjaji@gmail.com,1950-08-20,Homme,Rabat,0715386426,2026-04-17,Direct
CLI02869,Bensouda,Ali,ali_bensouda@hotmail.com,1966-01-03,1,Kenitra,0776600974,2022-07-07,TV
CLI00198,Ouazzani,Aicha,aicha-ouazzani@outlook.com,1961-11-20,female,Tétouan,0662473149,2022-06-05,Affichage
CLI02956,El Ouafi,Nassim,nassimelouafi@gmail.com,1983-04-02,male,Meknès,0791239449,2023-01-10,Recommandation
CLI00489,Kettani,Samir,samirkettani@menara.ma,1973-01-23,male,Safi,0766144942,2022-07-12,TV
CLI01940,Filali,Anass,anassfilali@hotmail.com,2004-11-24,Homme,Tétouan,0687162897,2025-09-15,Recommandation
CLI00521,El Khamlichi,Dounia,douniaelkhamlichi@hotmail.com,1975-03-27,Femme,Kenitra,0745652203,2023-03-03,Influenceur
CLI03481,Guerrouj,Jamal,jamal-guerrouj@outlook.com,1974-04-10,m,Taza,0660634051,2022-04-22,Email
CLI00088,Hajji,Kawtar,kawtar-hajji@yahoo.fr,2003-03-24,Femme,Tétouan,0626206724,2022-04-12,Google SEO
CLI01801,Errami,Rim,rim_errami@outlook.com,1975-09-07,female,Tanger,0799096781,2023-09-26,TV
CLI03351,El Ouafi,Soufiane,soufianeelouafi@yahoo.fr,1979-01-10,male,Safi,0682270697,2023-06-10,Direct
CLI01984,El Khamlichi,Houda,houdaelkhamlichi@menara.ma,1956-02-06,Femme,marrakech,0688233097,2023-08-11,Google SEO
CLI03635,Bensouda,Adil,adilbensouda53@gmail.com,1982-04-24,M,El Jadida,0706198780,2023-11-02,Instagram
CLI00806,Benali,Naima,naima.benali76@gmail.com,1947-06-15,female,El Jadida,0793881949,2026-03-22,Google SEO
CLI00977,Errami,Hamid,hamid-errami@outlook.com,1951-07-09,male,Meknès,0686746300,2024-06-11,Google SEO
CLI04452,Lahlou,Salma,salma-lahlou@gmail.com,1990-05-30,F,Oujda,0686502136,2025-05-07,Google SEO
CLI00142,Chraibi,Malika,malika.chraibi61@yahoo.fr,1964-07-22,female,Fès,0780396522,2022-08-25,Email
CLI02442,El Khamlichi,Omar,omar_elkhamlichi@hotmail.com,1967-09-27,m,fes,0791488151,2023-08-21,Recommandation
CLI02513,Benkirane,Mehdi,mehdi_benkirane@menara.ma,1985-10-30,H,Casablanca,0736771775,2024-01-03,Facebook
CLI03992,Cherkaoui,Jamal,jamal-cherkaoui@yahoo.fr,2007-10-17,Homme,Safi,0740791370,2023-12-13,TikTok
CLI02009,Belkadi,Youssef,youssef-belkadi@outlook.com,1946-09-11,Homme,Fès,0736918454,2022-09-05,Recommandation
CLI01063,Benkirane,Amina,amina-benkirane@hotmail.com,2002-05-06,female,Béni Mellal,0670851732,2025-11-26,Affichage
CLI04081,El Ouafi,Laila,lailaelouafi@menara.ma,1948-04-30,0,Oujda,0709061435,2024-03-03,Influenceur
CLI00900,El Ghazi,Riad,riad_elghazi@yahoo.fr,1974-01-20,M,Tanger,0623095862,2024-11-07,TV
CLI04550,Ksikes,Houda,houda-ksikes37@hotmail.com,1987-01-15,Femme,Safi,0701268213,2023-01-18,Email
CLI03470,Guerrouj,Hind,hindguerrouj72@hotmail.com,1996-09-09,female,tng,0790177069,2025-07-03,Google SEO
CLI01621,El Amrani,Nabil,nabil_elamrani@menara.ma,1984-01-11,m,Kenitra,0723065940,2023-05-02,Google SEO
CLI00061,Hajji,Ali,ali-hajji57@gmail.com,1953-08-25,H,Meknès,0759051518,2024-09-29,Influenceur
CLI03236,El Hajjaji,Karim,karimelhajjaji68@yahoo.fr,2001-09-07,m,Nador,0739125525,2025-08-09,Google SEO
CLI02518,El Hamdouchi,Jamal,jamal-elhamdouchi@gmail.com,2004-07-07,M,Casablanca,0773079099,2023-12-26,Instagram
CLI03515,Saidi,Nadia,@sansdomaine,1975-04-15,Femme,Taza,0676097137,2024-07-31,Direct
CLI01145,Alaoui,Hassan,hassanalaoui@outlook.com,1962-09-09,H,Casablanca,0681074916,2022-12-09,Instagram
CLI01313,Bakkali,Zineb,zineb.bakkali@yahoo.fr,1998-02-02,f,Oujda,0674215319,2024-02-20,Email
CLI03074,Oulhaj,Youssef,youssef.oulhaj@hotmail.com,1963-01-18,m,Tétouan,0708953897,2025-07-30,Google SEO
CLI02049,Fennich,Hicham,hicham.fennich@menara.ma,2000-12-18,m,Fès,0707727204,2022-05-20,TikTok
CLI04711,Benomar,Amina,amina-benomar@gmail.com,2004-09-12,Femme,Taza,0690852594,2023-04-10,Influenceur
CLI03354,Fennich,Simo,simo-fennich@outlook.com,1969-06-03,1,Tanger,0602315218,2023-07-04,Google SEO
CLI01755,Moussaoui,Ahmed,ahmedmoussaoui@outlook.com,1980-10-25,M,Kenitra,0632659845,2025-05-08,Google SEO
CLI04093,El Hamdouchi,Hind,hind-elhamdouchi@hotmail.com,1967-09-02,0,Tanger,0621244641,2023-07-19,Influenceur
CLI04103,El Moussaoui,Simo,simo.elmoussaoui@gmail.com,1996-09-02,M,Agadir,0758868022,2025-09-07,Influenceur
CLI03749,Fennich,Ayoub,ayoubfennich@yahoo.fr,1946-10-12,1,Béni Mellal,0713008710,2022-07-12,Influenceur
CLI00251,Tahiri,Dounia,douniatahiri@outlook.com,2002-08-15,female,Kenitra,0639551240,2023-03-21,TikTok
CLI01129,El Andaloussi,Widad,widadelandaloussi@hotmail.com,1997-06-04,f,béni mellal,0648433913,2025-11-28,Email
CLI02088,Ksikes,Salma,salma.ksikes@outlook.com,1995-10-14,f,Safi,0731766024,2025-12-16,Recommandation
CLI04536,El Ghazi,Sara,saraelghazi@outlook.com,1959-10-30,Femme,Casablanca,0721162442,2024-12-20,Instagram
CLI04195,El Fassi,Ali,ali-elfassi36@gmail.com,1990-07-22,Homme,Fès,0602725752,2025-10-23,Facebook
CLI04474,Rhazouani,Ilyas,ilyas_rhazouani@menara.ma,1982-06-26,m,kénitra,0733511552,2024-12-28,Recommandation
CLI02607,Bouazza,Rania,rania.bouazza97@hotmail.com,2002-09-08,female,Tanger,0780192271,2024-06-30,Influenceur
CLI02205,Ziani,Amine,amineziani@gmail.com,2006-07-16,1,Béni Mellal,0716619076,2023-05-02,Recommandation
CLI01095,Idrissi,Jamal,jamal_idrissi@gmail.com,1965-01-07,male,Nador,0741899740,2024-11-22,Facebook
CLI03590,El Ghazi,Younes,younes_elghazi22@menara.ma,1965-05-28,male,Fès,0709420659,2024-04-22,TV
CLI03387,Alaoui,Salma,salma.alaoui@menara.ma,2009-09-26,female,Marrakech,0687443730,2025-09-04,TikTok
CLI03037,Bouyahia,Sara,sarabouyahia38@menara.ma,1962-06-25,0,Agadir,0628163799,2026-01-25,Influenceur
CLI03069,Kettani,Zakaria,zakaria_kettani95@menara.ma,1965-09-01,1,Oujda,0645919878,2024-10-01,Instagram
CLI04025,El Amrani,Hanane,hanane.elamrani@hotmail.com,1953-10-12,Femme,Tétouan,0615730452,2026-04-01,Email
CLI04499,Tazi,Mohammed,mohammedtazi@yahoo.fr,1954-10-27,male,Nador,0730016388,2025-01-03,Instagram
CLI01459,Chraibi,Dounia,dounia.chraibi@outlook.com,1984-03-13,F,Safi,0610570399,2023-07-18,Influenceur
CLI04716,Hajji,Mariam,mariam_hajji@gmail.com,1977-02-26,Femme,marrakesh,0664068580,2023-03-31,Influenceur
CLI02082,Benhaddou,Hind,hind.benhaddou@outlook.com,1977-06-19,Femme,Fès,0675618453,2022-05-12,TikTok
CLI03235,El Moussaoui,Nadia,nadiaelmoussaoui@outlook.com,1972-11-23,0,Kenitra,0668089880,2023-07-10,TV
CLI03489,Benhaddou,Siham,siham.benhaddou@menara.ma,2008-04-01,0,Marrakech,0650995756,2022-03-25,Affichage
CLI02436,Hajji,Widad,widad.hajji59@yahoo.fr,1970-08-18,Femme,Fès,0605609446,2025-06-22,Instagram
CLI03096,El Ghazi,Sara,saraelghazi1@outlook.com,1956-08-28,Femme,Nador,0752889737,2025-04-23,Affichage
CLI03040,El Moussaoui,Tarik,tarikelmoussaoui@gmail.com,1986-08-14,male,Safi,0702456453,2022-08-05,Instagram
CLI00519,El Hamdouchi,Yasmine,yasmineelhamdouchi5@gmail.com,1955-05-08,0,Taza,0765268341,2023-05-13,TikTok
CLI03263,Lahlou,Adil,adil-lahlou@hotmail.com,2009-03-18,H,Tnja,0618689383,2025-03-15,TV
CLI01148,Belkadi,Manal,manal-belkadi14@gmail.com,1966-10-08,0,Agadir,0784227172,2025-03-01,Influenceur
CLI02931,El Mansouri,Hanane,hanane_elmansouri72@menara.ma,1974-01-04,F,Meknès,0607481335,2025-03-18,Email
CLI03940,Belkadi,Nassim,nassim-belkadi@menara.ma,1949-12-24,1,Rabat,0646929783,2022-05-03,Direct
CLI01226,Fennich,Amine,amine.fennich@outlook.com,2015-06-01,H,Rabat,0600521410,2023-08-18,Direct
CLI00937,Ksikes,Btissam,btissam-ksikes@outlook.com,1972-10-06,0,Taza,0618726001,2023-08-23,Email
CLI03950,Lahlou,Sanaa,sanaa-lahlou@hotmail.com,1992-08-06,0,Oujda,0779630235,2022-09-10,TV
CLI04066,Kettani,Sanaa,sanaa.kettani76@menara.ma,2005-10-15,Femme,Nador,0690410406,2025-11-12,Email
CLI04254,Bensouda,Mustapha,mustapha_bensouda@outlook.com,1960-11-25,male,Meknès,0613176158,2023-12-02,Influenceur
CLI03799,Boulahia,Simo,simo-boulahia@gmail.com,2010-05-06,H,Nador,0722612471,2022-04-20,Email
CLI01200,Tazi,Hicham,hicham-tazi@outlook.com,1953-08-30,H,El Jadida,0676165228,2022-05-30,TV
CLI00316,Ksikes,Latifa,latifaksikes@menara.ma,2002-08-14,female,El Jadida,0766513644,2025-06-27,Facebook
CLI04263,El Khamlichi,Adil,adil_elkhamlichi@menara.ma,1995-03-29,1,Marrakech,0742219914,2022-09-09,Email
CLI03416,Lamrani,Hamid,hamid.lamrani@yahoo.fr,1970-05-02,Homme,Nador,0720696577,2022-10-20,Influenceur
CLI01075,Chakir,Houssam,houssam_chakir@yahoo.fr,1973-05-25,M,Casablanca,0681896558,2025-10-28,Email
CLI03029,El Amrani,Rim,rimelamrani@hotmail.com,1966-10-07,F,Meknès,0672772365,2026-01-07,Direct
CLI02470,El Hajjaji,Soufiane,soufiane-elhajjaji22@yahoo.fr,1950-05-04,M,Meknès,0768685843,2022-12-10,Instagram
CLI02664,El Moussaoui,Riad,riad.elmoussaoui@gmail.com,2008-04-20,m,Taza,0682637419,2025-01-02,Affichage
CLI02503,Chraibi,Ilham,ilham-chraibi@yahoo.fr,2002-12-27,female,Fès,0630766170,2025-11-05,Influenceur
CLI02680,Kettani,Nassim,nassimkettani@menara.ma,1948-08-19,1,Safi,0696511988,2022-05-06,Affichage
CLI04524,Belkadi,Houda,houda_belkadi@gmail.com,1992-02-25,f,beni mellal,0773842918,2023-04-20,Recommandation
CLI02006,Tahiri,Loubna,loubna_tahiri@hotmail.com,1952-08-17,female,Tétouan,0673128211,2024-07-03,Instagram
CLI02849,Guerrouj,Houssam,houssam-guerrouj@gmail.com,1979-08-13,m,Béni Mellal,0731189230,2025-12-16,Direct
CLI00493,Alaoui,Omar,omar-alaoui@menara.ma,1947-03-14,male,Marrakech,0707931102,2025-06-19,TV
CLI02133,Cherkaoui,Latifa,latifa_cherkaoui53@hotmail.com,1973-09-02,Femme,Casablanca,0648709295,2025-07-19,Instagram
CLI04100,Idrissi,Tarik,tarik_idrissi@outlook.com,1965-04-19,1,El Jadida,0682823266,2022-08-27,Affichage
CLI02209,Ksikes,Naima,naimaksikes@menara.ma,1960-01-29,F,Rabat,0602492785,2024-11-25,Facebook
CLI01618,Oulhaj,Hafida,hafidaoulhaj@hotmail.com,1965-03-22,f,Casablanca,0774513636,2025-10-10,TikTok
CLI04797,Boulahia,Nour,nour.boulahia@hotmail.com,2015-06-01,F,Nador,0731824670,2023-04-25,Instagram
CLI00223,El Khamlichi,Zakaria,zakariaelkhamlichi@yahoo.fr,1990-04-06,1,Kenitra,0770862095,2024-11-08,TV
CLI00242,Rhazouani,Youssef,youssef.rhazouani51@hotmail.com,1971-12-21,H,El Jadida,0677181298,2026-01-10,Facebook
CLI01120,El Ouafi,Siham,sihamelouafi4@gmail.com,1989-01-23,0,Marrakech,0756426018,2023-10-07,Influenceur
CLI03247,Boulahia,Ali,aliboulahia50@menara.ma,1988-03-15,male,Safi,0757076214,2024-04-18,Instagram
CLI03780,Ziani,Younes,younes-ziani@hotmail.com,1980-10-21,m,Oujda,0796126907,2025-01-22,Facebook
CLI01010,Oulhaj,Laila,laila.oulhaj@hotmail.com,1988-02-06,Femme,Béni Mellal,0614264710,2023-02-22,Influenceur
CLI04046,Errami,Latifa,latifa.errami72@gmail.com,1975-08-09,Femme,Kenitra,0635676115,2022-10-28,Influenceur
CLI01372,Idrissi,Hafida,hafida_idrissi67@outlook.com,1958-09-24,f,Safi,0784817036,2022-10-08,Instagram
CLI00297,Guerrouj,Samir,malformé@,2001-07-10,M,Rabat,0792326487,2024-01-04,Google SEO
CLI03238,Belkadi,Rim,rim_belkadi@menara.ma,1955-09-24,F,Tanger,0789883362,2024-03-05,Affichage
CLI01901,El Hamdouchi,Fatima,fatima_elhamdouchi@outlook.com,1980-06-21,f,Agadir,0717635241,2025-01-24,Email
CLI02674,El Mansouri,Abdellatif,abdellatif-elmansouri@gmail.com,1969-08-10,male,eljadida,0639677839,2023-09-13,Google SEO
CLI00957,El Bakkali,Houda,houdaelbakkali@outlook.com,1967-01-10,female,Marrakech,0661019753,2024-11-25,TikTok
CLI03160,Tazi,Nadia,nadia_tazi76@hotmail.com,1979-08-09,female,Fès,0614231154,2022-11-18,Direct
CLI03117,Benhaddou,Aicha,aichabenhaddou@yahoo.fr,1968-07-06,0,Nador,0700175504,2025-05-17,TV
CLI01144,Oulhaj,Meryem,meryem_oulhaj@gmail.com,1971-09-21,f,Kenitra,0641128745,2023-05-31,Facebook
CLI01799,Cherkaoui,Nabil,nabil.cherkaoui61@outlook.com,2001-09-15,male,Casablanca,0653764298,2023-03-25,Email
CLI00452,Benkirane,Khalid,khalid.benkirane@menara.ma,1991-04-29,1,Marrakech,0627113322,2026-02-14,Affichage
CLI02407,Filali,Abdellatif,abdellatif.filali22@gmail.com,2004-09-23,M,Fès,0729495760,2025-01-30,Email
CLI04394,Ksikes,Naima,naima.ksikes21@outlook.com,1975-08-08,Femme,Casablanca,0728727651,2022-06-24,Instagram
CLI00844,Lahlou,Houssam,houssamlahlou19@yahoo.fr,1948-12-01,Homme,Taza,0754218545,2022-05-14,Direct
CLI00433,Tahiri,Badr,badr_tahiri@yahoo.fr,1963-01-17,M,Taza,0629109337,2025-11-04,Instagram
CLI00897,Saidi,Yasmine,yasmine_saidi@hotmail.com,2005-07-10,F,Rabat,0771195296,2022-11-16,Email
CLI03673,El Bakkali,Amina,amina-elbakkali@gmail.com,1949-06-25,0,Kenitra,0612269951,2023-09-15,TV
CLI02519,Hajji,Simo,simo_hajji@outlook.com,2015-06-01,H,Fès,0762576210,2026-02-09,TV
CLI03704,Benjelloun,Widad,widad.benjelloun@hotmail.com,1958-12-25,female,Taza,0606841160,2024-06-16,Facebook
CLI00799,Ouazzani,Kawtar,kawtar.ouazzani@yahoo.fr,1949-01-23,f,Tétouan,0671669063,2022-12-22,Facebook
CLI01654,Zeroual,Nadia,nadiazeroual47@yahoo.fr,1952-07-07,0,Kenitra,0660941750,2023-03-30,Facebook
CLI04552,Benjelloun,Adil,adilbenjelloun38@menara.ma,1956-02-29,M,Rabat,0775888714,2025-06-22,Email
CLI04402,Bouyahia,Btissam,btissam.bouyahia76@menara.ma,1977-02-08,F,Agadir,0729987260,2024-09-27,Direct
CLI00884,Kettani,Mehdi,mehdikettani@menara.ma,1990-08-19,m,Tétouan,0697352595,2026-03-08,Email
